support,itemsets
0.026197339806807263,frozenset({'15036'})
0.014666464370606383,frozenset({'16237'})
0.012087189601982502,frozenset({'17003'})
0.010873413240277146,frozenset({'20668'})
0.01036767308956658,frozenset({'20674'})
0.01628483285288019,frozenset({'20675'})
0.022657158751833308,frozenset({'20676'})
0.016841147018661812,frozenset({'20677'})
0.016487128913164416,frozenset({'20679'})
0.011986041571840389,frozenset({'20682'})
0.03519951448945532,frozenset({'20685'})
0.02639963586709149,frozenset({'20711'})
0.04364537500632175,frozenset({'20712'})
0.03322712790168411,frozenset({'20713'})
0.020836494209275275,frozenset({'20717'})
0.029080058665857483,frozenset({'20718'})
0.042128154554190056,frozenset({'20719'})
0.036514438881302784,frozenset({'20723'})
0.0521923835533303,frozenset({'20724'})
0.0791483335862034,frozenset({'20725'})
0.051433773327264454,frozenset({'20726'})
0.06438072118545492,frozenset({'20727'})
0.058160117331714965,frozenset({'20728'})
0.01036767308956658,frozenset({'20733'})
0.019369847772214635,frozenset({'20749'})
0.01947099580235675,frozenset({'20750'})
0.010013654984069186,frozenset({'20751'})
0.015374500581601173,frozenset({'20754'})
0.012188337632124614,frozenset({'20828'})
0.044505133262529716,frozenset({'20914'})
0.01153087543620088,frozenset({'20961'})
0.011581449451271937,frozenset({'20963'})
0.01542507459667223,frozenset({'20969'})
0.0132503919486168,frozenset({'20970'})
0.02639963586709149,frozenset({'20971'})
0.0311535932837708,frozenset({'20972'})
0.017953775350225055,frozenset({'20973'})
0.017953775350225055,frozenset({'20974'})
0.01830779345572245,frozenset({'20975'})
0.013300965963687857,frozenset({'20978'})
0.01643655489809336,frozenset({'20979'})
0.012592929752693067,frozenset({'20981'})
0.012946947858190462,frozenset({'20982'})
0.01355383603904314,frozenset({'20983'})
0.014009002174682648,frozenset({'20992'})
0.01137915339098771,frozenset({'20996'})
0.010064228999140242,frozenset({'21012'})
0.015172204521316948,frozenset({'21033'})
0.0440499671268902,frozenset({'21034'})
0.01992616193799626,frozenset({'21035'})
0.012896373843119405,frozenset({'21041'})
0.010013654984069186,frozenset({'21068'})
0.015829666717240683,frozenset({'21078'})
0.0498659788600617,frozenset({'21080'})
0.021645678450412178,frozenset({'21086'})
0.010974561270419259,frozenset({'21090'})
0.02665250594244677,frozenset({'21094'})
0.01254235573762201,frozenset({'21098'})
0.0132503919486168,frozenset({'21108'})
0.01269407778283518,frozenset({'21116'})
0.019167551711930412,frozenset({'21121'})
0.017397461184443432,frozenset({'21122'})
0.012137763617053559,frozenset({'21124'})
0.018712385576290902,frozenset({'21136'})
0.018965255651646185,frozenset({'21137'})
0.022808880797046478,frozenset({'21154'})
0.024528397309462397,frozenset({'21155'})
0.018105497395438225,frozenset({'21156'})
0.01426187225003793,frozenset({'21164'})
0.022707732766904364,frozenset({'21165'})
0.036565012896373844,frozenset({'21166'})
0.02275830678197542,frozenset({'21169'})
0.02361806503818338,frozenset({'21172'})
0.027208820108228393,frozenset({'21174'})
0.0409143781924847,frozenset({'21175'})
0.013452688008901027,frozenset({'21179'})
0.042735042735042736,frozenset({'21181'})
0.02291002882718859,frozenset({'21210'})
0.06675769989379457,frozenset({'21212'})
0.03353057199211045,frozenset({'21213'})
0.02174682648055429,frozenset({'21216'})
0.017397461184443432,frozenset({'21217'})
0.01992616193799626,frozenset({'21218'})
0.025742173671167753,frozenset({'21231'})
0.04202700652404794,frozenset({'21232'})
0.01957214383249886,frozenset({'21238'})
0.015526222626814343,frozenset({'21239'})
0.01643655489809336,frozenset({'21240'})
0.015374500581601173,frozenset({'21242'})
0.010620543164921864,frozenset({'21243'})
0.013199817933545745,frozenset({'21257'})
0.0144135942952511,frozenset({'21259'})
0.010822839225206089,frozenset({'21313'})
0.027360542153441563,frozenset({'21314'})
0.017195165124159206,frozenset({'21326'})
0.012744651797906235,frozenset({'21327'})
0.017498609214585546,frozenset({'21328'})
0.014514742325393213,frozenset({'21329'})
0.014666464370606383,frozenset({'21340'})
0.014666464370606383,frozenset({'21380'})
0.011328579375916654,frozenset({'21381'})
0.01603196277752491,frozenset({'21385'})
0.010721691195063976,frozenset({'21390'})
0.012188337632124614,frozenset({'21411'})
0.0132503919486168,frozenset({'21428'})
0.014464168310322156,frozenset({'21429'})
0.024123805188893947,frozenset({'21430'})
0.02523643352045719,frozenset({'21479'})
0.02478126738481768,frozenset({'21481'})
0.020330754058564708,frozenset({'21484'})
0.03150761138926819,frozenset({'21485'})
0.015829666717240683,frozenset({'21494'})
0.011632023466342994,frozenset({'21497'})
0.016992869063874982,frozenset({'21498'})
0.010974561270419259,frozenset({'21499'})
0.010772265210135032,frozenset({'21500'})
0.016335406867951246,frozenset({'21506'})
0.0132503919486168,frozenset({'21507'})
0.010772265210135032,frozenset({'21508'})
0.013857280129469478,frozenset({'21509'})
0.012441207707479897,frozenset({'21519'})
0.02538815556567036,frozenset({'21523'})
0.024275527234107117,frozenset({'21524'})
0.012441207707479897,frozenset({'21531'})
0.01714459110908815,frozenset({'21533'})
0.017346887169372376,frozenset({'21535'})
0.012036615586911445,frozenset({'21539'})
0.020836494209275275,frozenset({'21558'})
0.02897891063571537,frozenset({'21559'})
0.010772265210135032,frozenset({'21561'})
0.010923987255348202,frozenset({'21592'})
0.024022657158751834,frozenset({'21621'})
0.011176857330703484,frozenset({'21623'})
0.010721691195063976,frozenset({'21658'})
0.022100844586051688,frozenset({'21668'})
0.021493956405199008,frozenset({'21669'})
0.01891468163657513,frozenset({'21670'})
0.018661811561219845,frozenset({'21671'})
0.020684772164062105,frozenset({'21672'})
0.01845951550093562,frozenset({'21673'})
0.010013654984069186,frozenset({'21700'})
0.014868760430890608,frozenset({'21703'})
0.01254235573762201,frozenset({'21704'})
0.01137915339098771,frozenset({'21714'})
0.011682597481414049,frozenset({'21715'})
0.012340059677337784,frozenset({'21716'})
0.011581449451271937,frozenset({'21718'})
0.04293733879532696,frozenset({'21731'})
0.03747534516765286,frozenset({'21733'})
0.010822839225206089,frozenset({'21745'})
0.011429727406058767,frozenset({'21746'})
0.0392960097102109,frozenset({'21754'})
0.03181105547969453,frozenset({'21755'})
0.013654984069185253,frozenset({'21756'})
0.01962271784756992,frozenset({'21770'})
0.011429727406058767,frozenset({'21786'})
0.012289485662266727,frozenset({'21787'})
0.04683153795579831,frozenset({'21790'})
0.03069842714813129,frozenset({'21791'})
0.010013654984069186,frozenset({'21803'})
0.012744651797906235,frozenset({'21810'})
0.01239063369240884,frozenset({'21811'})
0.010013654984069186,frozenset({'21832'})
0.02725939412329945,frozenset({'21843'})
0.015273352551459061,frozenset({'21868'})
0.01805492338036717,frozenset({'21871'})
0.014919334445961665,frozenset({'21874'})
0.016841147018661812,frozenset({'21876'})
0.017650331259798716,frozenset({'21877'})
0.011328579375916654,frozenset({'21878'})
0.012137763617053559,frozenset({'21880'})
0.019116977696859355,frozenset({'21888'})
0.02968694684671016,frozenset({'21889'})
0.011682597481414049,frozenset({'21890'})
0.021493956405199008,frozenset({'21891'})
0.020836494209275275,frozenset({'21892'})
0.014059576189753705,frozenset({'21899'})
0.018813533606433015,frozenset({'21900'})
0.0155767966418854,frozenset({'21901'})
0.010620543164921864,frozenset({'21902'})
0.018560663531077732,frozenset({'21907'})
0.023668639053254437,frozenset({'21908'})
0.02002730996813837,frozenset({'21912'})
0.030496131087847066,frozenset({'21914'})
0.03342942396196834,frozenset({'21915'})
0.01815607141050928,frozenset({'21916'})
0.01137915339098771,frozenset({'21917'})
0.018661811561219845,frozenset({'21918'})
0.01051939513477975,frozenset({'21922'})
0.04076265614727153,frozenset({'21928'})
0.04374652303646386,frozenset({'21929'})
0.035654680625094824,frozenset({'21930'})
0.059879633844130885,frozenset({'21931'})
0.022556010721691194,frozenset({'21932'})
0.02073534617913316,frozenset({'21933'})
0.020785920194204218,frozenset({'21934'})
0.02680422798765994,frozenset({'21935'})
0.026854802002730997,frozenset({'21936'})
0.01269407778283518,frozenset({'21937'})
0.010418247104637637,frozenset({'21955'})
0.011733171496485105,frozenset({'21967'})
0.018206645425580335,frozenset({'21974'})
0.030394983057704952,frozenset({'21975'})
0.0198755879229252,frozenset({'21976'})
0.04394881909674809,frozenset({'21977'})
0.015020482476103778,frozenset({'21980'})
0.01370555808425631,frozenset({'21981'})
0.01815607141050928,frozenset({'21982'})
0.010721691195063976,frozenset({'21984'})
0.02159510443534112,frozenset({'21985'})
0.016942295048803926,frozenset({'21989'})
0.018510089516006675,frozenset({'21990'})
0.010671117179992919,frozenset({'21991'})
0.02205027057098063,frozenset({'21992'})
0.021493956405199008,frozenset({'21993'})
0.010772265210135032,frozenset({'22024'})
0.01830779345572245,frozenset({'22027'})
0.0132503919486168,frozenset({'22028'})
0.02665250594244677,frozenset({'22029'})
0.013857280129469478,frozenset({'22030'})
0.017903201335154,frozenset({'22037'})
0.018257219440651392,frozenset({'22041'})
0.01051939513477975,frozenset({'22045'})
0.011126283315632429,frozenset({'22055'})
0.012188337632124614,frozenset({'22064'})
0.012188337632124614,frozenset({'22065'})
0.010064228999140242,frozenset({'22074'})
0.010114803014211297,frozenset({'22075'})
0.01137915339098771,frozenset({'22076'})
0.04829818439285895,frozenset({'22077'})
0.016335406867951246,frozenset({'22079'})
0.020684772164062105,frozenset({'22082'})
0.03085014919334446,frozenset({'22083'})
0.02205027057098063,frozenset({'22084'})
0.05866585748242553,frozenset({'22086'})
0.016487128913164416,frozenset({'22087'})
0.012036615586911445,frozenset({'22088'})
0.013756132099327365,frozenset({'22089'})
0.04035806402670308,frozenset({'22090'})
0.010114803014211297,frozenset({'22094'})
0.014969908461032721,frozenset({'22109'})
0.014110150204824761,frozenset({'22110'})
0.03899256561978456,frozenset({'22111'})
0.04339250493096647,frozenset({'22112'})
0.028372022454862693,frozenset({'22113'})
0.032519091690689325,frozenset({'22114'})
0.01153087543620088,frozenset({'22115'})
0.01471703838567744,frozenset({'22131'})
0.04723613007636676,frozenset({'22138'})
0.04865220249835635,frozenset({'22139'})
0.023112324887472818,frozenset({'22141'})
0.0190664036817883,frozenset({'22142'})
0.02751226419865473,frozenset({'22144'})
0.024326101249178174,frozenset({'22147'})
0.0276639862438679,frozenset({'22149'})
0.023668639053254437,frozenset({'22150'})
0.016790573003590756,frozenset({'22151'})
0.012946947858190462,frozenset({'22156'})
0.015323926566530116,frozenset({'22158'})
0.017195165124159206,frozenset({'22161'})
0.018813533606433015,frozenset({'22169'})
0.01340211399382997,frozenset({'22170'})
0.01931927375714358,frozenset({'22171'})
0.02493298943003085,frozenset({'22173'})
0.016234258837809133,frozenset({'22174'})
0.05244525362868558,frozenset({'22178'})
0.014615890355535326,frozenset({'22179'})
0.0265007838972336,frozenset({'22189'})
0.020988216254488445,frozenset({'22191'})
0.01845951550093562,frozenset({'22192'})
